experiment	strain_type
SRX6747949	PAO1
SRX5534358	PAO1
SRX5728481	PAO1
SRX5534349	PAO1
SRX5534373	PAO1
SRX5620826	PA14
SRX7058500	PAO1
SRX6923930	PAO1
SRX7044147	PAO1
SRX7044149	PAO1
SRX7044152	PAO1
SRX7058503	PAO1
SRX7442760	PAO1
SRX6579274	PA14
SRX9288330	PAO1
SRX5620827	PA14
SRX5860640	PAO1
SRX5572478	PAO1
SRX5572891	PA14
SRX6747258	PAO1
SRX6747944	PAO1
SRX6747954	PAO1
SRX7044151	PAO1
SRX7058497	PAO1
SRX6747958	PAO1
SRX5534369	PAO1
SRX6981196	PAO1
SRX540108	PAO1
SRX6747263	PAO1
SRX6747264	PAO1
SRX7442752	PAO1
SRX6976951	PAO1
SRX5661366	PAO1
SRX5572475	PAO1
SRX5572897	PA14
SRX6747260	PAO1
SRX6747945	PAO1
SRX6747957	PAO1
SRX5534351	PAO1
SRX5534365	PAO1
SRX5534374	PAO1
SRX7442757	PAO1
SRX7058504	PAO1
SRX5728482	PAO1
SRX7036376	PA14
SRX5534353	PAO1
SRX5534357	PAO1
SRX7747538	PAO1
SRX6976952	PAO1
SRX6981188	PAO1
SRX7044150	PAO1
SRX7058508	PAO1
SRX5728471	PAO1
SRX5728474	PAO1
SRX6352908	PAO1
SRX6478155	PAO1
SRX5534360	PAO1
SRX5572886	PA14
SRX6747947	PAO1
SRX6747948	PAO1
SRX5534363	PAO1
SRX1156136	PAO1
SRX6923942	PAO1
SRX2159157	PAO1
SRX7058499	PAO1
SRX6478148	PAO1
SRX1150809	PA14
SRX1150820	PA14
SRX2255954	PAO1
SRX1150429	PA14
SRX389626	PAO1
SRX5534356	PAO1
SRX5534370	PAO1
SRX5534371	PAO1
SRX5534372	PAO1
SRX6747951	PAO1
SRX6923933	PAO1
SRX6923929	PAO1
SRX7036373	PA14
SRX7058510	PAO1
SRX7058502	PAO1
SRX6478149	PAO1
SRX5661363	PAO1
SRX5661368	PAO1
SRX5661370	PAO1
SRX6867891	PA14
SRX6788807	PA14
SRX7058506	PAO1
SRX5572885	PA14
SRX5661369	PAO1
SRX6976950	PAO1
SRX396857	PA14
SRX105200	PA14
SRX5534350	PAO1
SRX5534376	PAO1
SRX7747537	PAO1
SRX7747540	PAO1
SRX6976953	PAO1
SRX105195	PA14
SRX105197	PA14
SRX1411279	PAO1
SRX2342947	PAO1
SRX9288334	PAO1
SRX1491237	PAO1
SRX1100225	PAO1
SRX6747265	PAO1
SRX1150778	PA14
SRX5572472	PAO1
SRX6976948	PAO1
SRX6867893	PA14
SRX1177853	PA14
SRX9288349	PAO1
SRX9288335	PAO1
SRX9370112	PAO1
SRX9370134	PAO1
SRX9370087	PAO1
SRX9370114	PAO1
SRX9370125	PAO1
SRX1411286	PAO1
SRX540110	PAO1
SRX1177871	PA14
SRX6352906	PAO1
SRX5534377	PAO1
SRX5572473	PAO1
SRX2342945	PAO1
SRX7036371	PA14
SRX7036374	PA14
SRX5860642	PAO1
SRX6437705	PA14
SRX6853215	PAO1
SRX9288337	PAO1
SRX9370110	PAO1
SRX9370126	PAO1
SRX5860646	PAO1
SRX5572476	PAO1
SRX5572900	PA14
SRX5572899	PA14
SRX5572893	PA14
SRX6853213	PAO1
SRX6853214	PAO1
SRX2159160	PAO1
SRX6352903	PAO1
SRX5572471	PAO1
SRX5572895	PA14
SRX1074702	PA14
SRX9288329	PAO1
SRX6747256	PAO1
SRX6747259	PAO1
SRX6747266	PAO1
SRX7036369	PA14
SRX9288336	PAO1
SRX5860645	PAO1
SRX5534359	PAO1
SRX5534380	PAO1
SRX5620829	PA14
SRX5630350	PAO1
SRX5630351	PAO1
SRX2181665	PAO1
SRX1150430	PA14
SRX1074666	PA14
SRX9288331	PAO1
SRX5661367	PAO1
SRX6352905	PAO1
SRX6747257	PAO1
SRX6747269	PAO1
SRX5572890	PA14
SRX5860639	PAO1
SRX9370113	PAO1
SRX9370130	PAO1
SRX396859	PA14
SRX5860641	PAO1
SRX5860644	PAO1
SRX1491234	PAO1
SRX1150126	PA14
SRX5572898	PA14
SRX9288352	PAO1
SRX9288341	PAO1
SRX7036378	PA14
SRX7044153	PAO1
SRX9370085	PAO1
SRX9370086	PAO1
SRX9370088	PAO1
SRX9370089	PAO1
SRX9370090	PAO1
SRX9370091	PAO1
SRX9370092	PAO1
SRX9370093	PAO1
SRX9370094	PAO1
SRX9370105	PAO1
SRX9370106	PAO1
SRX9370107	PAO1
SRX9370108	PAO1
SRX9370109	PAO1
SRX9370111	PAO1
SRX9370127	PAO1
SRX9370128	PAO1
SRX9370129	PAO1
SRX9370131	PAO1
SRX9370132	PAO1
SRX9370133	PAO1
