experiment	strain_type
SRX8639785	PAO1
SRX8639786	PAO1
SRX8639787	PAO1
SRX8639788	PAO1
SRX8639789	PAO1
SRX8639790	PAO1
SRX8639791	PAO1
SRX8639792	PAO1
SRX8639793	PAO1
SRX8639794	PAO1
SRX8639795	PAO1
SRX8639796	PAO1
SRX8639797	PAO1
SRX8639798	PAO1
SRX8639799	PAO1
SRX8639800	PAO1
SRX7874207	PAO1
ERX1819485	PAO1
ERX1819486	PAO1
ERX1819487	PAO1
ERX1819482	PAO1
ERX1819483	PAO1
ERX1819484	PAO1
ERX1819488	PAO1
ERX1819489	PAO1
ERX1819490	PAO1
SRX7756387	PA14
SRX7756388	PA14
SRX7756389	PA14
SRX7756390	PA14
SRX7756391	PA14
SRX7756392	PA14
SRX7756393	PA14
SRX7756394	PA14
SRX7756395	PA14
SRX7442756	PAO1
SRX6747262	PAO1
SRX7442754	PAO1
SRX5728476	PAO1
SRX9288354	PAO1
SRX9288353	PAO1
SRX9288350	PAO1
SRX9288332	PAO1
SRX1853533	PAO1
SRX8174195	PAO1
SRX8174194	PAO1
SRX8174193	PAO1
SRX8174192	PAO1
SRX8174191	PAO1
SRX8174190	PAO1
SRX8174189	PAO1
SRX8174188	PAO1
SRX8174187	PAO1
SRX7036370	PA14
SRX2159159	PAO1
SRX1150821	PA14
SRX384493	PAO1
SRX7058501	PAO1
SRX6747943	PAO1
SRX6788806	PA14
SRX5534362	PAO1
SRX6923934	PAO1
SRX7442755	PAO1
SRX671507	PAO1
SRX671508	PAO1
SRX1140450	PAO1
SRX1140451	PAO1
SRX1140452	PAO1
SRX1140453	PAO1
SRX1140454	PAO1
SRX1140455	PAO1
SRX1140456	PAO1
SRX1140457	PAO1
SRX1141087	PA14
SRX1100224	PAO1
SRX1100226	PAO1
SRX1118956	PAO1
SRX1118953	PAO1
SRX1119735	PAO1
SRX1120676	PAO1
SRX1737664	PAO1
SRX1737665	PAO1
SRX1737668	PAO1
SRX1737667	PAO1
SRX1737670	PAO1
SRX1740204	PA14
SRX1740205	PA14
SRX1740206	PA14
SRX1740207	PA14
SRX1740208	PA14
SRX1740209	PA14
SRX2159158	PAO1
SRX2159161	PAO1
SRX2159162	PAO1
SRX2159177	PAO1
SRX2159178	PAO1
ERX1517773	PAO1
ERX1517774	PAO1
SRX3641525	PA14
SRX3641526	PA14
SRX3641527	PA14
SRX3641528	PA14
SRX3641529	PA14
SRX3641530	PA14
SRX3641531	PA14
SRX3641532	PA14
SRX3641533	PA14
SRX681635	PAO1
SRX681836	PAO1
SRX681837	PAO1
SRX682369	PAO1
SRX682370	PAO1
SRX682371	PAO1
SRX2342948	PAO1
SRX2342951	PAO1
SRX2342956	PAO1
SRX2940624	PAO1
SRX2940625	PAO1
SRX2940626	PAO1
SRX2940627	PAO1
SRX2940628	PAO1
SRX2940629	PAO1
SRX2520354	PAO1
SRX2520355	PAO1
SRX2520356	PAO1
SRX2520357	PAO1
SRX2520358	PAO1
SRX2520359	PAO1
SRX2520360	PAO1
SRX1712677	PA14
SRX1712679	PA14
SRX1712681	PA14
SRX1712683	PA14
SRX1712685	PA14
SRX540111	PAO1
SRX1158866	PA14
SRX1156127	PAO1
SRX1156135	PAO1
SRX1156137	PAO1
SRX1156138	PAO1
SRX1156140	PAO1
SRX1150173	PA14
SRX1150179	PA14
SRX1150182	PA14
SRX1150183	PA14
SRX1150276	PA14
SRX1150279	PA14
SRX1150281	PA14
SRX1150355	PA14
SRX1150780	PA14
SRX1150803	PA14
SRX1150806	PA14
SRX1150822	PA14
SRX1150840	PA14
SRX1150858	PA14
SRX1150874	PA14
SRX1150932	PA14
SRX1150933	PA14
SRX1150934	PA14
SRX1150935	PA14
SRX470313	PA14
SRX470314	PA14
SRX470318	PA14
SRX470319	PA14
SRX470320	PA14
SRX470321	PA14
SRX470324	PA14
SRX470328	PA14
SRX470329	PA14
SRX470331	PA14
SRX470333	PA14
SRX470336	PA14
SRX470338	PA14
SRX470339	PA14
SRX470340	PA14
SRX470342	PA14
SRX470343	PA14
SRX470347	PA14
SRX470348	PA14
SRX470350	PA14
SRX470351	PA14
SRX470352	PA14
SRX470354	PA14
SRX470356	PA14
SRX470358	PA14
SRX470359	PA14
SRX470360	PA14
SRX470361	PA14
SRX470363	PA14
SRX470364	PA14
SRX470365	PA14
SRX470366	PA14
SRX470368	PA14
SRX470370	PA14
SRX470372	PA14
SRX470374	PA14
SRX470376	PA14
SRX470379	PA14
SRX470381	PA14
SRX470385	PA14
SRX470386	PA14
SRX470389	PA14
SRX470391	PA14
SRX470393	PA14
SRX1630362	PAO1
SRX1630372	PAO1
SRX1200232	PA14
SRX2792486	PAO1
SRX1747042	PAO1
SRX2792487	PAO1
SRX2792488	PAO1
SRX2792489	PAO1
SRX2792490	PAO1
ERX1477379	PA14
ERX1477380	PA14
ERX1477381	PA14
SRX2185321	PA14
SRX2185322	PA14
SRX2185323	PA14
SRX2185324	PA14
SRX2185325	PA14
SRX2185326	PA14
SRX2185327	PA14
SRX2185328	PA14
SRX2185329	PA14
SRX2185330	PA14
SRX2185331	PA14
SRX2185332	PA14
SRX1771584	PAO1
SRX1771585	PAO1
SRX1771586	PAO1
SRX1771587	PAO1
SRX2066786	PA14
SRX2066787	PA14
SRX540114	PAO1
SRX540115	PAO1
SRX1177852	PA14
SRX1177855	PA14
SRX1177856	PA14
SRX1177858	PA14
SRX1177859	PA14
SRX1177861	PA14
SRX1177862	PA14
SRX1177866	PA14
SRX1177867	PA14
SRX1177868	PA14
SRX1177869	PA14
SRX1491235	PAO1
SRX1491239	PAO1
SRX2181659	PAO1
SRX2181660	PAO1
SRX2181663	PAO1
SRX2181664	PAO1
SRX2181666	PAO1
SRX1516139	PAO1
SRX1516140	PAO1
SRX1516141	PAO1
SRX2255950	PAO1
SRX2255951	PAO1
SRX2255952	PAO1
SRX2255953	PAO1
SRX2255955	PAO1
SRX589549	PA14
SRX591664	PAO1
SRX591665	PAO1
SRX591666	PAO1
SRX591667	PAO1
SRX591668	PAO1
SRX591669	PAO1
SRX591670	PAO1
SRX591671	PAO1
SRX591672	PAO1
SRX591673	PAO1
SRX591674	PAO1
SRX591675	PAO1
SRX591676	PAO1
SRX591677	PAO1
SRX591678	PAO1
SRX591679	PAO1
SRX2915111	PAO1
SRX2915112	PAO1
SRX2915113	PAO1
SRX2915114	PAO1
SRX5457606	PAO1
SRX5457607	PAO1
SRX8111264	PAO1
SRX8111266	PAO1
SRX8111269	PAO1
SRX8111308	PA14
SRX8111310	PA14
SRX8111317	PA14
SRX8111319	PA14
SRX8111320	PA14
SRX8111322	PA14
SRX8111323	PA14
SRX8111325	PA14
ERX2813653	PAO1
ERX2813654	PAO1
ERX2813655	PAO1
ERX2813656	PAO1
ERX2813657	PAO1
ERX2813658	PAO1
ERX3558798	PAO1
ERX3558799	PAO1
ERX3558800	PAO1
ERX3558801	PAO1
ERX3558802	PAO1
ERX3558803	PAO1
ERX3558804	PAO1
ERX3558805	PAO1
SRX6874325	PAO1
SRX6874326	PAO1
SRX6874327	PAO1
SRX6874328	PAO1
SRX6874329	PAO1
SRX6874330	PAO1
SRX6874331	PAO1
SRX6874332	PAO1
SRX6874333	PAO1
SRX6874334	PAO1
SRX7299392	PA14
SRX8030413	PA14
SRX8030414	PA14
SRX8030415	PA14
SRX8030416	PA14
